Action,Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property Visibility,Property Is Array,Property Value Type,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
,User Property,[Mutiny] Amplitude Staging Test_Tech,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,,
IGNORE,User Property,[Mutiny] Amplitude vs GA4 ABM_FY23 Q1 AMER ENT Land Google Analytics ABM - All,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-04-03,2023-09-18
IGNORE,User Property,[Mutiny] Amplitude vs GA4 ABM_FY23 Q2 EMEA/APJ ENT Land Google Analytics,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-07-12,2023-07-17
IGNORE,User Property,[Mutiny] Amplitude vs GA4_FY23 Q1 AMER ENT Land Google Analytics ABM - All,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-03-08,2023-05-24
IGNORE,User Property,[Mutiny] Analytics Page_Online Demo Video Test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-09-27,2025-05-27
,User Property,[Mutiny] B2B SaaS Exit Modal on the Blog_B2B SaaS Readers on the Blog,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-14,2025-06-07
,User Property,[Mutiny] Blog sidebar_Have not registered for Amplify,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-28,2025-06-06
,User Property,[Mutiny] Blog sidebar_Public companies,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-28,2023-06-28
IGNORE,User Property,[Mutiny] Cardinal Health_Cardinal Health,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-10-05,2023-10-06
,User Property,[Mutiny] clearbit_reveal.company.category.industry,clearbit reveal - most specific industry tag (sector > industry group > industry),any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.category.industryGroup,clearbit reveal - 2nd most specific industry tag (sector > industry group > industry),any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.category.sector,clearbit reveal - broadest industry tag (sector > industry group > industry),any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.metrics.employeesRange,clearbit reveal - employee count range,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.name,clearbit reveal - company name,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.tags,"clearbit reveal - company tags related to business model, ex. B2B, SaaS, Mobile, ecommerce",any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] clearbit_reveal.company.tech,clearbit reveal - tech used by company,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] Contact Sales - Drift_50+ employees,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-12-06,2025-06-06
,User Property,[Mutiny] Contact Sales - Homepage_EMEA Enterprise Accounts,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-06-21,2025-06-05
,User Property,[Mutiny] Contact Sales CTA - Nav Bar Universal_EMEA Enterprise Accounts,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-06-21,2025-06-03
IGNORE,User Property,[Mutiny] Copy of Finserv homepage_Mutiny Test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-10-03,2024-10-16
,User Property,[Mutiny] Corporate website_Large,Mutiny experiment Aug. 2018 testing headline & copy edits by company size. Large = 1000+ employees,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-06
,User Property,[Mutiny] Corporate website_Medium,Mutiny experiment Aug. 2018 testing headline & copy edits by company size. Medium = 50-100 employees,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] Corporate website_Small,Mutiny experiment Aug. 2018 testing headline & copy edits by company size. Small = Less than 50 employees,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-16,2025-06-07
,User Property,[Mutiny] Corporate Website_Small,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-01-21,2025-06-07
IGNORE,User Property,[Mutiny] Customers Page_Online Demo Video Test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-09-27,2025-06-06
IGNORE,User Property,[Mutiny] Dell_Dell,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-07-01,2024-07-01
IGNORE,User Property,[Mutiny] DIA (EMEA_DIA (EMEA),,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-06-30,2024-07-15
,User Property,[Mutiny] Digital Analytics_A/b test new homepage #1 vs digital analytics 040122,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-01,2025-06-07
,User Property,[Mutiny] Easiest for startups_<1K EEs,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-03-22,2025-06-07
,User Property,[Mutiny] Email only signup (revision: 2)_Large,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-10-19,2025-06-06
,User Property,[Mutiny] Email only signup (revision: 2)_Medium,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-10-19,2025-06-07
,User Property,[Mutiny] Email only signup (revision: 2)_Small,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-10-19,2025-06-07
,User Property,[Mutiny] Email only signup (revision: 2)_Unidentified company size,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-10-19,2025-06-07
